Title,Author,Publication Date,Location,URL,Anger[0],Anger[1],Anger[2],Anger[3],Anger[4],Disgust[0],Disgust[1],Disgust[2],Disgust[3],Disgust[4],Fear[0],Fear[1],Fear[2],Fear[3],Fear[4],Joy[0],Joy[1],Joy[2],Joy[3],Joy[4],Sadness[0],Sadness[1],Sadness[2],Sadness[3],Sadness[4]
Nightmare Abbey,Thomas Love Peacock,1818,United Kingdom,http://www.loyalbooks.com/download/text/Nightmare-Abbey-by-Thomas-Love-Peacock.txt,0.079461,0.17646,0.145927,0.143039,0.127618,0.093977,0.099964,0.153799,0.122715,0.092961,0.1186,0.506727,0.493198,0.493758,0.490656,0.598139,0.593009,0.548264,0.53099,0.550733,0.165256,0.530139,0.495295,0.535103,0.152754
Otto of the Silver Hand,Howard Pyle,1888,United States,http://www.loyalbooks.com/download/text/Otto-of-the-Silver-Hand-by-Howard-Pyle.txt,0.473168,0.474327,0.17672,0.135664,0.1164,0.114524,0.127137,0.177869,0.148085,0.118736,0.17705,0.168877,0.531669,0.178649,0.173292,0.55331,0.569879,0.19465,0.528114,0.572079,0.54936,0.588589,0.645899,0.583509,0.575102
The Lair of the White Worm,Bram Stoker,1911,United Kingdom,http://www.loyalbooks.com/download/text/Lair-of-the-White-Worm-by-Bram-Stoker.txt,0.152867,0.140281,0.136513,0.158089,0.149873,0.104442,0.488347,0.126565,0.132982,0.457219,0.107264,0.651405,0.466661,0.60345,0.169102,0.605768,0.582964,0.568085,0.593657,0.548419,0.568306,0.604246,0.544375,0.564109,0.488724
Five Children and It...,Edith Nesbit,1902,United Kingdom,http://www.loyalbooks.com/download/text/Five-Children-and-it-by-E-Nesbit.txt,0.129482,0.552045,0.142199,0.148542,0.218728,0.120051,0.086934,0.129791,0.170673,0.112108,0.11807,0.14564,0.507217,0.167397,0.173224,0.569625,0.602219,0.571587,0.609313,0.524985,0.541927,0.531378,0.507305,0.50192,0.509393
Frankenstein; or The Modern Prometheus,Mary Shelley,1818,United Kingdom,http://www.loyalbooks.com/download/text/Frankenstein-or-Modern-Prometheus-by-Mary-W-Shelley.txt,0.081158,0.086713,0.537856,0.143007,0.132042,0.065891,0.454113,0.52711,0.547126,0.506278,0.138451,0.531279,0.491666,0.618477,0.182886,0.6286,0.591679,0.584477,0.569421,0.544232,0.531805,0.591712,0.507672,0.596,0.555659
Barnaby Rudge,"Charles Dickens (""Boz"")",1841,England,http://www.loyalbooks.com/download/text/Barnaby-Rudge-by-Charles-Dickens-2.txt,0.146486,0.111953,0.182629,0.143114,0.192652,0.489869,0.086082,0.137363,0.073729,0.168093,0.634107,0.503976,0.477458,0.510917,0.187714,0.592176,0.60306,0.508128,0.587993,0.523091,0.569168,0.534022,0.508731,0.555007,0.602635
The Elements of Style,William Strunk Jr. (1918/1920) Strunk and E. B. White (1959),1920,United States,http://www.loyalbooks.com/download/text/Elements-of-Style.txt,0.118442,0.114455,0.583601,0.452291,0.126053,0.102492,0.0872,0.087635,0.120109,0.117074,0.092464,0.088687,0.102943,0.106472,0.085667,0.576959,0.561526,0.585165,0.511043,0.547268,0.173695,0.159369,0.493681,0.474299,0.166299
A Journey in Other Worlds,John Jacob Astor IV,1894,United States,http://www.loyalbooks.com/download/text/A-Journey-in-Other-Worlds-by-John-Jacob-Astor-Iv.txt,0.11353,0.115499,0.121394,0.122023,0.097972,0.079916,0.076667,0.132508,0.113281,0.076692,0.10133,0.151694,0.196255,0.457407,0.13953,0.61708,0.57589,0.550988,0.551775,0.608461,0.524834,0.496066,0.51036,0.536687,0.552999
The Marble Faun,Nathaniel Hawthorne,1860,United States,http://www.loyalbooks.com/download/text/Marble-Faun.txt,0.133779,0.094092,0.10652,0.134866,0.126944,0.100648,0.074964,0.106873,0.098275,0.088876,0.124336,0.122898,0.190101,0.160105,0.536872,0.610224,0.667664,0.602402,0.594541,0.536152,0.538741,0.555381,0.536367,0.587193,0.612832
The Nigger of the 'Narcissus',Joseph Conrad,1897,United Kingdom,http://www.loyalbooks.com/download/text/Nigger-of-the-Narcissus.txt,0.16148,0.150394,0.172023,0.495107,0.127823,0.44056,0.531013,0.587989,0.473386,0.114633,0.573173,0.628666,0.562292,0.53867,0.178419,0.537789,0.547846,0.550446,0.497163,0.535758,0.527608,0.573361,0.561656,0.590422,0.602249
The Life and Adventures of Santa Claus,L. Frank Baum,1902,United States,http://www.loyalbooks.com/download/text/Life-and-Adventures-of-Santa-Claus-version-2-by-L-Frank-Baum.txt,0.071352,0.079875,0.096512,0.139117,0.097801,0.056242,0.083414,0.116607,0.104516,0.064894,0.1379,0.123952,0.110472,0.139399,0.104768,0.629842,0.68329,0.658754,0.636589,0.685897,0.493114,0.483324,0.560434,0.463427,0.538593
This Side of Paradise,F. Scott Fitzgerald,1920,United States,http://www.loyalbooks.com/download/text/This-Side-of-Paradise-by-F-Scott-Fitzgerald.txt,0.114483,0.1121,0.181843,0.156297,0.106985,0.094429,0.083862,0.138835,0.089771,0.114104,0.090878,0.53168,0.573033,0.120728,0.639512,0.641239,0.593095,0.576609,0.594026,0.568044,0.519021,0.543636,0.527599,0.576347,0.553697
The Man That Corrupted Hadleyburg,Mark Twain,1900,United States,http://www.loyalbooks.com/download/text/Man-That-Corrupted-Hadleyburg.txt,0.1205,0.106459,0.139354,0.180759,0.188252,0.462183,0.513568,0.122878,0.127579,0.17792,0.160775,0.127037,0.492357,0.120687,0.128839,0.56213,0.552432,0.570034,0.518398,0.519871,0.526886,0.53068,0.503796,0.509209,0.592344
Rilla of Ingleside,Lucy Maud Montgomery,1921,Canada,http://www.loyalbooks.com/download/text/Rilla-of-Ingleside-by-Lucy-Maud-Montgomery.txt,0.135999,0.136815,0.123199,0.140025,0.149244,0.106083,0.112175,0.12449,0.116323,0.100931,0.137116,0.162182,0.6198,0.61734,0.147207,0.615284,0.545236,0.578913,0.518352,0.566007,0.506238,0.57986,0.578492,0.541594,0.574224
The Call of the Wild,Jack London,1903,United States,http://www.loyalbooks.com/download/text/The-Call-of-the-Wild-by-Jack-London-2.txt,0.136214,0.680595,0.174488,0.164156,0.467514,0.128504,0.563545,0.179321,0.146446,0.166068,0.155722,0.637483,0.170271,0.163461,0.53756,0.599758,0.549353,0.528561,0.6068,0.587426,0.560029,0.574135,0.568016,0.563655,0.572432
Spoon River Anthology,Edgar Lee Masters,1915,United States,http://www.loyalbooks.com/download/text/Spoon-River-Anthology-by-Edgar-Lee-Masters.txt,0.117611,0.137733,0.426078,0.159496,0.456718,0.081243,0.117746,0.109137,0.10716,0.101571,0.107255,0.619312,0.117847,0.135179,0.500104,0.525144,0.545493,0.594292,0.613364,0.585356,0.567741,0.611007,0.575703,0.590144,0.472557
David and the Phoenix,Edward Ormondroyd,1957,United States,http://www.loyalbooks.com/download/text/David-and-the-Phoenix-by-Edward-Ormondroyd.txt,0.120042,0.125937,0.153292,0.097265,0.120613,0.090584,0.112438,0.084964,0.064931,0.107131,0.141334,0.452233,0.473003,0.13748,0.133681,0.62046,0.504451,0.584734,0.572534,0.618061,0.567358,0.543384,0.546443,0.549445,0.562712
The Mystery of Edwin Drood,Charles Dickens,1870,England,http://www.loyalbooks.com/download/text/The-Mystery-of-Edwin-Drood-by-Charles-Dickens.txt,0.578965,0.184785,0.158235,0.159213,0.160162,0.143968,0.133611,0.089369,0.119928,0.133115,0.102573,0.145967,0.162329,0.100181,0.145064,0.537195,0.512782,0.534895,0.570806,0.579803,0.472811,0.599454,0.568644,0.536953,0.511691
The Mysteries of Udolpho A Romance; Interspersed with Some Pieces of Poetry,Ann Radcliffe,1794,England,http://www.loyalbooks.com/download/text/Mysteries-of-Udolpho-by-Ann-Radcliffe.txt,0.109155,0.12493,0.483675,0.536624,0.123313,0.079451,0.129139,0.100901,0.098814,0.091555,0.102318,0.597033,0.573622,0.152568,0.560052,0.64046,0.552266,0.564047,0.578223,0.566604,0.577528,0.539706,0.527357,0.526905,0.574972
Tom Jones,Henry Fielding,1749,England,http://www.loyalbooks.com/download/text/History-of-Tom-Jones-by-Henry-Fielding.txt,0.109634,0.175876,0.139449,0.144267,0.109845,0.11456,0.102758,0.083181,0.131716,0.545068,0.101011,0.154781,0.155288,0.472481,0.109549,0.607142,0.524943,0.60397,0.554751,0.633678,0.509971,0.577855,0.552042,0.567059,0.175765
The Planet Savers,Marion Zimmer Bradley,1962,United States,http://www.loyalbooks.com/download/text/Planet-Savers.txt,0.150051,0.519421,0.491444,0.52229,0.157169,0.135725,0.12593,0.137624,0.101243,0.119039,0.139874,0.533711,0.502112,0.592887,0.549985,0.608737,0.54857,0.531904,0.488957,0.521908,0.52912,0.581123,0.534647,0.536341,0.554855
Sense and Sensibility,Jane Austen,1811,United Kingdom,http://www.loyalbooks.com/download/text/Sense-and-Sensibility-by-Jane-Austen.txt,0.127157,0.132531,0.100413,0.139281,0.118665,0.114099,0.112316,0.072665,0.110844,0.088549,0.123729,0.112957,0.113409,0.464568,0.540197,0.627459,0.590485,0.629413,0.560922,0.563229,0.532775,0.153421,0.603478,0.575707,0.596706
The Diary of a Nobody,George and Weedon Grossmith,1892,United Kingdom,http://www.loyalbooks.com/download/text/The-Diary-of-a-Nobody-by-George-Weedon-Grossmith.txt,0.544893,0.550513,0.157243,0.456196,0.113958,0.112378,0.118339,0.115553,0.116538,0.076091,0.10571,0.141032,0.120981,0.170931,0.549099,0.574843,0.609415,0.599235,0.55832,0.634405,0.542501,0.53832,0.51631,0.249354,0.52922
Three Men in a Boat,Jerome Klapka Jerome,1889,United Kingdom,http://www.loyalbooks.com/download/text/Three-Men-in-a-Boat-by-Jerome-K-Jerome.txt,0.136478,0.174332,0.528507,0.513125,0.162897,0.510361,0.132083,0.128383,0.136035,0.120518,0.123725,0.141251,0.511224,0.154913,0.148132,0.564033,0.547748,0.555826,0.526112,0.607797,0.489535,0.574396,0.571629,0.536641,0.519384
Andrew Lang's Fairy Books,Andrew Lang,1889,null,http://www.loyalbooks.com/download/text/Pink-Fairy-Book.txt,0.134782,0.082612,0.110701,0.486889,0.150514,0.081571,0.073386,0.085942,0.172042,0.545434,0.141747,0.136669,0.103363,0.109608,0.13479,0.587965,0.610704,0.589822,0.551426,0.572646,0.55753,0.580806,0.589909,0.529077,0.507202
Vanity Fair,William Makepeace Thackeray,1847,United Kingdom,http://www.loyalbooks.com/download/text/Vanity-Fair-by-William-Makepeace-Thackeray.txt,0.119299,0.143741,0.170725,0.537169,0.175422,0.123498,0.103729,0.473411,0.490101,0.126103,0.108269,0.099589,0.115181,0.105478,0.155606,0.58426,0.621094,0.601332,0.624644,0.555835,0.610878,0.518739,0.571685,0.559384,0.562924
Zadig or The Book of Fate,Voltaire,1747,France,http://www.loyalbooks.com/download/text/Zadig-or-the-Book-of-Fate-by-Voltaire.txt,0.128488,0.15619,0.170687,0.485528,0.126804,0.100191,0.101073,0.158862,0.477336,0.470268,0.094051,0.639228,0.113322,0.544707,0.084282,0.646419,0.565518,0.562258,0.618741,0.619038,0.160595,0.59159,0.530102,0.19151,0.56388
The Age of Innocence,Edith Wharton,1920,United States,http://www.loyalbooks.com/download/text/The-Age-of-Innocence-by-Edith-Wharton.txt,0.094523,0.140674,0.125464,0.169722,0.121114,0.098053,0.117778,0.088456,0.104616,0.125192,0.084468,0.127351,0.136989,0.4969,0.165504,0.661049,0.580997,0.664321,0.537551,0.535426,0.523157,0.569199,0.518775,0.517003,0.607084
The Last Man,Mary Shelley,1826,United Kingdom,http://www.loyalbooks.com/download/text/The-Last-Man-by-Mary-Shelley.txt,0.118922,0.072061,0.138592,0.143033,0.135343,0.103627,0.095979,0.136547,0.137895,0.117737,0.147723,0.087095,0.193126,0.569767,0.13718,0.595352,0.661182,0.571683,0.551228,0.553517,0.580241,0.542086,0.575669,0.60836,0.56158
The Case of Jennie Brice,Mary Roberts Rinehart,1913,United States,http://www.loyalbooks.com/download/text/The-Case-of-Jennie-Brice-by-Mary-Roberts-Rinehart.txt,0.148815,0.154026,0.13606,0.181696,0.179519,0.535674,0.092633,0.118909,0.11597,0.141563,0.166603,0.121452,0.135085,0.157417,0.625705,0.494081,0.525411,0.614992,0.519844,0.561752,0.509888,0.466673,0.533345,0.545364,0.60713
The Coming of Bill,P. G. Wodehouse,1919,null,http://www.loyalbooks.com/download/text/Coming-of-Bill.txt,0.124419,0.146199,0.105379,0.529277,0.162374,0.109365,0.093968,0.093513,0.110244,0.114703,0.110354,0.161704,0.107078,0.113355,0.14107,0.598137,0.6272,0.614396,0.587138,0.533649,0.51654,0.532815,0.589303,0.228785,0.56276
Rupert of Hentzau,Anthony Hope,1898,United Kingdom,http://www.loyalbooks.com/download/text/Rupert-of-Hentzau-by-Anthony-Hope.txt,0.161629,0.148245,0.154483,0.148193,0.164872,0.103782,0.44849,0.128141,0.105774,0.112675,0.127341,0.15645,0.539656,0.472548,0.500203,0.577808,0.558458,0.516753,0.582463,0.53706,0.512367,0.500807,0.558534,0.54021,0.521985
The Return of the Native,Thomas Hardy,1878,United Kingdom,http://www.loyalbooks.com/download/text/Return-of-the-Native-by-Thomas-Hardy.txt,0.133868,0.131769,0.551703,0.188956,0.157875,0.103053,0.11036,0.126463,0.145324,0.115147,0.134061,0.531902,0.135268,0.155236,0.170985,0.570433,0.571703,0.545717,0.488541,0.484182,0.566795,0.530193,0.575293,0.509584,0.535899
Our Mr. Wrenn,Sinclair Lewis,1914,United States,http://www.loyalbooks.com/download/text/Wrenn-Romantic-Adventures-of-a-Gentle-Man.txt,0.134539,0.190264,0.142478,0.147359,0.153772,0.126359,0.499314,0.112379,0.105206,0.124875,0.11468,0.644323,0.541483,0.142785,0.161677,0.549385,0.554928,0.548412,0.584445,0.561062,0.512774,0.521328,0.548408,0.542492,0.596359
John Barleycorn,Jack London,1913,United States,http://www.loyalbooks.com/download/text/John-Barleycorn-or-Alcoholic-Memoirs-by-Jack-London.txt,0.130512,0.142661,0.159048,0.128386,0.129874,0.148979,0.117418,0.491831,0.14484,0.087005,0.090551,0.207215,0.170404,0.132426,0.122256,0.563692,0.512478,0.558869,0.574479,0.551259,0.466325,0.563119,0.591137,0.522135,0.547035
The Scarlet Pimpernel,Baroness Orczy,1905,United Kingdom,http://www.loyalbooks.com/download/text/The-Scarlet-Pimpernel-by-Baroness-Emmuska-Orczy.txt,0.500538,0.086178,0.130295,0.128504,0.163814,0.106921,0.109687,0.093726,0.087328,0.517549,0.109487,0.090984,0.125374,0.551601,0.139559,0.574632,0.120734,0.603541,0.573637,0.134641,0.189915,0.495418,0.572585,0.511718,0.556488
When William Came,Saki,1913,null,http://www.loyalbooks.com/download/text/When-William-Came-by-Saki.txt,0.107247,0.131748,0.135128,0.098737,0.139141,0.106312,0.126198,0.123056,0.100674,0.121068,0.1264,0.150543,0.112351,0.442938,0.131039,0.645781,0.585875,0.596799,0.607265,0.616606,0.579945,0.534188,0.547348,0.450394,0.218392
The Moonstone,Wilkie Collins,1868,England,http://www.loyalbooks.com/download/text/The-Moonstone-by-Wilkie-Collins.txt,0.108651,0.162696,0.140763,0.121022,0.173093,0.149936,0.120225,0.130192,0.115797,0.108721,0.144039,0.200291,0.157498,0.141348,0.151803,0.588298,0.534391,0.542632,0.568595,0.605982,0.538756,0.533149,0.580336,0.505909,0.51324
Tom Swift Jr.,Harriet (Stratemeyer) Adams James Duncan Lawrence,1954,United States of America,http://www.loyalbooks.com/download/text/Tom-Swift-and-the-Visitor-from-Planet-X-by-Victor-Appleton-Ii.txt,0.49084,0.153319,0.167345,0.154066,0.13325,0.092695,0.142335,0.107295,0.090085,0.090641,0.161928,0.146344,0.548396,0.134472,0.150467,0.572669,0.497841,0.582488,0.617217,0.575045,0.562211,0.530243,0.550977,0.569102,0.547228
Thus Spoke Zarathustra: A Book for All and None,Friedrich Nietzsche,1883,Germany,http://www.loyalbooks.com/download/text/Thus-Spake-Zarathustra-by-Friedrich-Nietzsche.txt,0.492425,0.128331,0.14441,0.133986,0.136781,0.095828,0.103595,0.097191,0.115033,0.098024,0.108833,0.113225,0.142329,0.14342,0.618787,0.576457,0.610542,0.584797,0.556936,0.600587,0.170759,0.588648,0.49821,0.54166,0.523003
Elusive Isabel,Jacques Futrelle,1909,United States,http://www.loyalbooks.com/download/text/Elusive-Isabel-by-Jacques-Futrelle.txt,0.19397,0.167719,0.160126,0.174757,0.574549,0.159372,0.086763,0.105733,0.115672,0.121362,0.133652,0.163631,0.143506,0.133025,0.220643,0.551653,0.546798,0.546133,0.530138,0.547282,0.525381,0.567501,0.562304,0.510981,0.596411
Personal Recollections of Joan of Arc,Mark Twain,1896,United States,http://www.loyalbooks.com/download/text/Personal-Recollections-of-Joan-of-Arc-by-Mark-Twain.txt,0.133609,0.135337,0.1576,0.464394,0.158475,0.118403,0.122418,0.106397,0.097427,0.123805,0.10881,0.171711,0.14959,0.142335,0.141016,0.530419,0.547642,0.592851,0.623164,0.612892,0.174151,0.577991,0.514477,0.563207,0.524733
The Chessmen of Mars,Edgar Rice Burroughs,1922,United States,http://www.loyalbooks.com/download/text/The-Chessmen-of-Mars-by-Edgar-Rice-Burroughs.txt,0.497594,0.139155,0.12671,0.15361,0.150814,0.102657,0.111517,0.436339,0.462852,0.117089,0.113886,0.513021,0.146694,0.160497,0.15029,0.586166,0.500153,0.540302,0.549335,0.576103,0.568861,0.586138,0.568809,0.269695,0.589888
The Mystery of the Yellow Room,Gaston Leroux,1907,France,http://www.loyalbooks.com/download/text/Mystery-of-the-Yellow-Room-by-Gaston-Leroux.txt,0.113743,0.148011,0.178563,0.125454,0.147882,0.112624,0.134996,0.519399,0.123215,0.112573,0.176899,0.146123,0.164797,0.163135,0.565665,0.579958,0.591803,0.545919,0.596594,0.192255,0.541047,0.470625,0.583491,0.534428,0.57774
Typhoon,Joseph Conrad,1902,United Kingdom,http://www.loyalbooks.com/download/text/Typhoon-by-Joseph-Conrad.txt,0.116562,0.145018,0.1372,0.151851,0.161318,0.111523,0.118396,0.073736,0.144505,0.129471,0.134934,0.149955,0.168474,0.169826,0.486417,0.518506,0.50003,0.490875,0.473542,0.48849,0.508812,0.551446,0.561022,0.50632,0.500209
Utopia,Thomas More,1551,Habsburg Netherlands,http://www.loyalbooks.com/download/text/Utopia-by-Thomas-More.txt,0.162241,0.167245,0.085808,0.152112,0.136874,0.151886,0.529433,0.075338,0.100142,0.112164,0.128336,0.173343,0.10011,0.53821,0.49027,0.556679,0.591215,0.713144,0.650694,0.618056,0.577102,0.564228,0.474568,0.547127,0.585325
People of the Talisman,Leigh Brackett,1964,United States,http://www.loyalbooks.com/download/text/Black-Amazon-of-Mars.txt,0.121031,0.142779,0.537948,0.595622,0.15832,0.099119,0.139237,0.131299,0.115801,0.146089,0.186583,0.533992,0.660666,0.191524,0.131084,0.542205,0.610514,0.519914,0.514511,0.506975,0.590795,0.558828,0.507096,0.544983,0.587983
Evelina: Or the History of a Young Lady's Entrance into the World,Fanny Burney,1778,United Kingdom,http://www.loyalbooks.com/download/text/Evelina-by-Fanny-Burney.txt,0.110035,0.125307,0.143552,0.14747,0.133249,0.097458,0.497742,0.104774,0.095234,0.080544,0.66024,0.168702,0.150789,0.534407,0.448351,0.623949,0.576733,0.544505,0.591797,0.551886,0.495778,0.56349,0.57213,0.610693,0.593429
The Four Million,O. Henry,1906,United States,http://www.loyalbooks.com/download/text/The-Four-Million-by-O-Henry.txt,0.160409,0.09847,0.117806,0.133282,0.142473,0.135352,0.11036,0.107336,0.498359,0.107557,0.124291,0.543093,0.161226,0.157142,0.132887,0.552499,0.524131,0.601366,0.548008,0.60027,0.539572,0.509505,0.545848,0.4729,0.465365
Madame Bovary,Gustave Flaubert,1856,France,http://www.loyalbooks.com/download/text/Madame-Bovary-by-Gustave-Flaubert.txt,0.150042,0.177546,0.125599,0.164472,0.563385,0.15248,0.155767,0.082234,0.581217,0.553666,0.18434,0.148681,0.144239,0.135187,0.592347,0.595094,0.551774,0.588304,0.519421,0.59955,0.262185,0.554632,0.586102,0.57963,0.550757
Persuasion,Jane Austen,1818,United Kingdom,http://www.loyalbooks.com/download/text/Persuasion-by-Jane-Austen.txt,0.095628,0.170161,0.090525,0.147048,0.128539,0.096436,0.10217,0.074039,0.122857,0.081628,0.120104,0.1518,0.115989,0.141343,0.104828,0.642865,0.595914,0.608977,0.58444,0.608338,0.605037,0.546415,0.592469,0.518435,0.53614
Time and the Gods,Lord Dunsany,1906,United Kingdom,http://www.loyalbooks.com/download/text/Time-and-the-Gods-by-Lord-Dunsany.txt,0.138784,0.150415,0.130349,0.123398,0.110964,0.074885,0.145951,0.122379,0.076721,0.074309,0.461041,0.586785,0.15338,0.142103,0.117315,0.61987,0.54592,0.541358,0.57011,0.666091,0.577015,0.501936,0.564659,0.644525,0.563637
A Pair of Blue Eyes,Thomas Hardy,1873,United Kingdom,http://www.loyalbooks.com/download/text/Pair-of-Blue-Eyes.txt,0.105243,0.145649,0.134009,0.160772,0.136575,0.094144,0.110461,0.08381,0.531918,0.121266,0.113046,0.157659,0.501035,0.128011,0.13567,0.571507,0.555002,0.549961,0.565643,0.571372,0.449459,0.568155,0.503477,0.538044,0.565731
Little Wizard Stories of Oz,L. Frank Baum,1914,United States,http://www.loyalbooks.com/download/text/Little-Wizard-Stories-of-Oz-by-L-Frank-Baum.txt,0.507392,0.541617,0.557001,0.504669,0.133395,0.176899,0.14231,0.136832,0.138694,0.083064,0.532009,0.541261,0.569495,0.162623,0.156639,0.549163,0.523174,0.571009,0.60223,0.646915,0.517392,0.523688,0.538742,0.490813,0.511917
The Locksmith's House,null,null,null,http://www.loyalbooks.com/download/text/House-by-the-Lock.txt,0.141301,0.527781,0.114123,0.160554,0.181051,0.102135,0.133912,0.10334,0.134098,0.137321,0.141764,0.592873,0.158401,0.193659,0.604654,0.553422,0.560803,0.57603,0.575875,0.545821,0.161619,0.53883,0.527478,0.528412,0.522852
The Enchanted Castle,Edith Nesbit,1907,United Kingdom,http://www.loyalbooks.com/download/text/The-Enchanted-Castle-by-E-Nesbit.txt,0.13264,0.493923,0.150311,0.158317,0.146745,0.098371,0.126339,0.126463,0.10799,0.554196,0.158601,0.112789,0.188988,0.174401,0.581975,0.550143,0.570902,0.556906,0.5369,0.601297,0.58817,0.22259,0.500519,0.472323,0.511478
Tarzan and the Jewels of Opar,Edgar Rice Burroughs,1916,United States,http://www.loyalbooks.com/download/text/Tarzan-and-the-Jewels-of-Opar-by-Edgar-Rice-Burroughs.txt,0.448952,0.099453,0.148977,0.131997,0.530518,0.148066,0.115485,0.136277,0.607931,0.430608,0.190779,0.549121,0.184098,0.506011,0.578199,0.550143,0.564787,0.569932,0.536057,0.554774,0.571633,0.561615,0.558892,0.530656,0.519349
Bleak House,Charles Dickens,1852,England,http://www.loyalbooks.com/download/text/Bleak-House-by-Charles-Dickens.txt,0.10211,0.149453,0.18056,0.142245,0.111884,0.109122,0.085396,0.164357,0.09977,0.119053,0.122199,0.114762,0.167582,0.110673,0.098761,0.550961,0.615167,0.537667,0.550378,0.615959,0.540123,0.54922,0.542259,0.536142,0.567481
The Road to Oz,L. Frank Baum,1909,United States,http://www.loyalbooks.com/download/text/The-Road-to-Oz-by-L-Frank-Baum.txt,0.100593,0.121312,0.506835,0.126191,0.095172,0.102946,0.147046,0.139987,0.118223,0.085538,0.09685,0.556442,0.167716,0.124753,0.084499,0.639998,0.636196,0.576229,0.633309,0.698648,0.175168,0.182246,0.582978,0.62385,0.514134
